Info 0    [22:23:15.937] Starting TS Server
Info 97   [22:23:39.980] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 3.9420419931411743ms
Info 98   [22:23:39.980] Different program with same set of files
Info 99   [22:23:40.831] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 100  [22:23:40.833] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 2.5654170513153076ms
Info 101  [22:23:40.833] Different program with same set of files
Info 102  [22:23:43.794] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 103  [22:23:43.796] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 1.9876669645309448ms
Info 104  [22:23:43.796] Different program with same set of files
Info 105  [22:23:43.837] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 106  [22:23:43.839] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 1.91587495803833ms
Info 107  [22:23:43.839] Different program with same set of files
Info 108  [22:23:44.168] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 109  [22:23:44.171] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 2.721916079521179ms
Info 110  [22:23:44.171] Different program with same set of files
Info 111  [22:23:44.224] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 112  [22:23:44.227] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 2.536792039871216ms
Info 113  [22:23:44.227] Different program with same set of files
